Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"18","Bhutan","6646","Forest land","5110","Area","1000 ha","2506.720000","2516.648000","2526.576000","2536.504000","2546.432000","2556.360000","2566.288000","2576.216000","2586.144000","2596.072000","2606.000000","2615.929000","2625.858000","2635.787000","2645.716000","2655.645000","2665.574000","2675.503000","2685.432000","2695.361000","2705.290000","2707.268000","2709.246000","2711.224000","2713.202000","2715.180000","2717.160000","2719.140000","2721.120000","2723.100000","2725.080000"
"18","Bhutan","6646","Forest land","71952","Implied emission factor for CO2","tonnes CO2/ha","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.536300","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-2.443500","-0.485000","-0.485000","-0.485000","-0.485000","-0.485000","-0.483700","-0.483700","-0.483700","-0.483700","-0.483700"
"18","Bhutan","6646","Forest land","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1318.198200","-1318.198200","-1318.198200","-1318.198200","-1318.198200"
"18","Bhutan","6646","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1318.198200","-1318.198200","-1318.198200","-1318.198200","-1318.198200"
"18","Bhutan","6750","Net Forest conversion","5110","Area","1000 ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"18","Bhutan","6750","Net Forest conversion","71952","Implied emission factor for CO2","tonnes CO2/ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"18","Bhutan","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"18","Bhutan","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"18","Bhutan","6749","Forest land (total)","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1318.198200","-1318.198200","-1318.198200","-1318.198200","-1318.198200"
"18","Bhutan","6749","Forest land (total)","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6609.632200","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-6610.297900","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1316.866700","-1318.198200","-1318.198200","-1318.198200","-1318.198200","-1318.198200"
"19","Bolivia (Plurinational State of)","6646","Forest land","5110","Area","1000 ha","57804.720000","57534.387000","57264.054000","56993.721000","56723.388000","56453.055000","56182.722000","55912.389000","55642.056000","55371.723000","55101.390000","54899.852000","54698.314000","54496.776000","54295.238000","54093.700000","53892.162000","53690.624000","53489.086000","53287.548000","53086.010000","52874.252000","52662.494000","52450.736000","52238.978000","52027.220000","51788.528000","51549.836000","51311.144000","51072.452000","50833.760000"
"19","Bolivia (Plurinational State of)","6646","Forest land","71952","Implied emission factor for CO2","tonnes CO2/ha","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.007700","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.008000","-0.007400","-0.007400","-0.007400","-0.007400","-0.007400","-0.006300","-0.006300","-0.006300","-0.006300","-0.006300"
